,Z1,Z2,merged_branchcoords,tips_type
20262,-2.03579013879514,0.295656392809807,2,pheno2_31
20263,-1.17607125088053,-0.39011772655542,2,pheno2_1
20264,-1.27690315199673,0.808485380816745,2,pheno2_4
20265,-1.25541642355872,0.767419410506246,2,pheno2_4
20266,-1.16499163203073,0.933956291969965,2,pheno2_4
20267,-1.19670625119154,0.922367062928426,2,pheno2_4
20268,1.93059822084856,0.912320033588207,5,pheno5_4
20269,-1.18514344329107,0.921192855689454,2,pheno2_4
20270,-1.82081938663869,1.90404720527707,1,pheno1_right2
20271,-1.21757157935067,0.929563914757379,2,pheno2_4
20272,-1.25864913401881,0.877203441081304,2,pheno2_4
20273,-1.82542530685841,1.89711566905293,1,pheno1_right2
20274,-1.84876177138889,1.88393860163708,1,pheno1_right2
20275,-1.91001724089743,1.79680248166264,1,pheno1_right1
20276,-1.87021737132232,1.87072072249503,1,pheno1_right2
20277,-1.80922543538502,1.89902478518129,1,pheno1_right2
20278,-1.93885058363419,1.78792576230904,1,pheno1_right1
20279,-1.83016157448382,1.92426083302742,1,pheno1_right2
20280,-1.21075828223681,0.924093325842355,2,pheno2_4
20281,-1.20086447675726,0.92338774264802,2,pheno2_4
20282,-1.2556713958271,0.720052930132962,2,pheno2_4
20283,-2.02103938303403,1.51600016731008,1,pheno1_right1
20284,2.05251613785878,0.458537889771076,5,pheno5_2
20285,2.3345108040879,0.894409540499508,5,pheno5_1
20286,-1.16633311477648,-1.467663950899,3,pheno3_42
20287,2.67511465821762,1.12108119348366,5,pheno5_5
20288,2.64610484270477,1.13123980754543,5,pheno5_5
20289,2.48554262191891,1.40116118212485,5,pheno5_6
20290,0.0962410418313764,-2.53599381471283,6,pheno6_2
20291,1.98430621165337,0.0239207719345173,4,pheno4_2
20292,1.81586380051875,-0.154216999796182,4,pheno4_2
20293,1.96169239085001,0.0057057411881626,4,pheno4_2
20294,0.934834277965785,-0.797103696614802,4,pheno4_1
20295,1.34619358842005,-0.525297628562016,4,pheno4_2
20296,1.23310315375656,-0.583753591558978,4,pheno4_2
20297,0.209398891627992,-1.46860902902886,6,pheno6_1
20298,1.02917870129345,-0.718648784391201,4,pheno4_1
20299,0.116277992566351,-1.74076564970144,6,pheno6_1
20300,2.88263929526615,1.26461766399408,5,pheno5_5
20301,3.33903490414296,0.498451203792548,5,pheno5_32
20302,-1.96009155395246,-0.108808671962947,2,pheno2_2
20303,-1.24951111082711,0.854673185950532,2,pheno2_4
20304,-1.29959511514141,0.726104488675308,2,pheno2_4
20305,-1.50374653777217,-0.186697020934287,2,pheno2_1
20306,-1.49493933980874,-0.207266448247889,2,pheno2_1
20307,-2.59560384170666,0.386689894843008,2,pheno2_31
20308,2.5312774164089,0.239359657031302,5,pheno5_31
20309,2.50149343603702,0.221519343361303,5,pheno5_31
20310,3.14359272977214,0.328674075950587,5,pheno5_32
20311,3.14215398103646,0.365251925766014,5,pheno5_32
20312,2.74793206875135,1.16007371681092,5,pheno5_5
20313,2.75282001249898,1.16765557194924,5,pheno5_5
20314,1.49912737087061,-0.472014218672598,4,pheno4_2
20315,-1.91731575705048,0.722692340473053,2,pheno2_5
20316,-1.7264530061941,0.117392585521115,2,pheno2_1
20317,-1.6439771050323,0.0130936113464198,2,pheno2_1
20318,-1.48586471283937,-0.227550194181755,2,pheno2_1
20319,2.04914818184843,0.467150829385974,5,pheno5_2
20320,-2.57870540135791,0.335902089874832,2,pheno2_31
20321,3.13073145982679,0.285053165631717,5,pheno5_32
20322,2.75694926188535,0.171853539569809,5,pheno5_31
20323,3.13681014508844,0.232481249439826,5,pheno5_32
20324,2.92921434897856,0.253643242420435,5,pheno5_31
20325,3.06092283536739,0.177777878190926,5,pheno5_31
20326,2.15645743153151,0.178959377189356,5,pheno5_31
20327,2.06025866315085,0.442515523331082,5,pheno5_1
20328,1.95210656738024,-0.0822612534159499,4,pheno4_2
20329,-0.659005561612395,-0.367696478146603,3,pheno3_3
20330,-0.658528589277256,-0.431299724370225,3,pheno3_3
20331,-0.954716825989834,-0.631721136565956,3,pheno3_41
20332,-0.65455756344648,-0.468937633543596,3,pheno3_3
20333,-0.649048240063427,-0.411681471386744,3,pheno3_3
20334,-1.17868269797091,-0.425305125618645,3,pheno3_2
20335,-1.19084453884638,-0.388479299568549,2,pheno2_1
20336,-0.663240996584555,-0.444232098718585,3,pheno3_3
20337,-1.48101453274024,0.61281112549933,2,pheno2_4
20338,-1.40002856764353,-0.242841551176505,2,pheno2_1
20339,1.27823310547062,-0.580600346848007,4,pheno4_2
20340,0.545074244930583,-0.941021428853047,4,pheno4_1
20341,0.693497233131392,-0.863873715419314,4,pheno4_1
20342,3.11873395376522,0.340296084398061,5,pheno5_32
20343,3.1824526135339,0.31175432799199,5,pheno5_32
20344,-0.422293904616934,-3.66506352209764,6,pheno6_3
20345,3.11433142923873,0.27844829325267,5,pheno5_32
20346,2.72405047282236,1.11552866674346,5,pheno5_5
20347,3.14809817591824,0.335993344251497,5,pheno5_32
20348,3.16176140982076,0.355886563728377,5,pheno5_32
20349,2.65664922608712,1.11285679659734,5,pheno5_5
20350,-0.117537932111486,-2.58280063159641,6,pheno6_2
20351,-0.624446811134283,-0.382886904942581,3,pheno3_3
20352,-1.33625289269281,0.653751740675645,2,pheno2_4
20353,-1.30309695734211,0.719819685155956,2,pheno2_4
20354,-1.79035520961558,0.16629904577119,2,pheno2_1
20355,2.08594265898051,0.459585455260212,5,pheno5_1
20356,2.9013249718713,0.251776544293919,5,pheno5_31
20357,1.81060566242392,-0.324295103199655,4,pheno4_3
20358,1.99965573238373,-0.0513782899124785,4,pheno4_2
20359,2.73211618035399,0.18606483595329,5,pheno5_31
20360,1.81767273122373,-0.333780408960575,4,pheno4_3
20361,2.20472222482618,0.197351735973674,5,pheno5_31
20362,2.05794618039759,0.281867418883578,5,pheno5_1
20363,1.78794340186224,-0.359938122153577,4,pheno4_3
20364,2.7331377120843,0.20384629636725,5,pheno5_31
20365,3.14480209083771,0.343831790035502,5,pheno5_32
20366,2.80462132536659,1.20110982242524,5,pheno5_5
20367,-0.472836832181479,-3.53301815536985,6,pheno6_3
20368,-0.438059956568015,-3.62053516447558,6,pheno6_3
20369,2.69038352235206,1.14072921859048,5,pheno5_5
20370,-0.394430008910783,-3.64955835352812,6,pheno6_3
20371,-0.412161143337518,-3.60997689576684,6,pheno6_3
20372,-0.448850407635233,-3.6153376555296,6,pheno6_3
20373,2.71250377278546,1.14961497853831,5,pheno5_5
20374,-0.384652177632404,-3.65102380211214,6,pheno6_3
20375,-0.49531388279824,-3.61348729920365,6,pheno6_3
20376,0.931311645317798,-0.728093569213098,4,pheno4_1
20377,3.30634223654049,0.272743724680966,5,pheno5_32
20378,3.22674264506936,0.329307415283955,5,pheno5_32
20379,3.22516988335638,0.28869243759215,5,pheno5_32
20380,3.2664460380765,0.305436212910008,5,pheno5_32
20381,3.23674221220916,0.376918573423292,5,pheno5_32
20382,3.27929399152068,0.323163922169148,5,pheno5_32
20383,3.25941359319125,0.277740698871761,5,pheno5_32
20384,3.23581617690516,0.287199867816813,5,pheno5_32
20385,-0.273749296560817,-3.63962828724361,6,pheno6_3
20386,-0.292735129150118,-3.64198520086373,6,pheno6_3
20387,-0.236932756086274,-3.76655204785777,6,pheno6_3
20388,-1.20289905917768,-1.39946312914401,3,pheno3_42
20389,-1.17904666062963,-1.33008129600384,3,pheno3_41
20390,-1.12798418133942,-1.38951215102984,3,pheno3_42
20391,-1.15599697638433,-1.40149743283,3,pheno3_42
20392,-1.19764223697308,-1.36272574281167,3,pheno3_42
20393,-0.052930835339724,-2.48446043156399,6,pheno6_2
20394,1.82975374804517,-0.367575682843588,4,pheno4_3
20395,0.133704978187273,-1.10419948414347,3,pheno3_1
20396,1.86748771532413,-0.433859415230372,4,pheno4_3
20397,-1.77833370186619,0.456886036605175,2,pheno2_4
20398,2.0548841610828,0.285150192888223,5,pheno5_1
20399,-0.400355302743383,-3.80703746353717,6,pheno6_3
20400,-1.92459330356598,0.698699278169059,2,pheno2_5
20401,-1.28825633341287,0.764512639711218,2,pheno2_4
20402,-1.26621709942667,0.803263816848677,2,pheno2_4
20403,-1.99335961785994,1.34060277651055,1,pheno1_right1
20404,-1.92278826214621,1.83238061433003,1,pheno1_right2
20405,-2.03767112815218,1.82373920588812,1,pheno1_right2
20406,-1.24423383598701,0.799437236352261,2,pheno2_4
20407,-2.51211891566275,0.332127499387192,2,pheno2_31
20408,1.60576563770126,0.518032603027203,5,pheno5_2
20409,1.58984282403582,0.550983213428835,5,pheno5_2
20410,1.50678090281667,-0.559831259610586,4,pheno4_2
20411,0.216043443449839,-1.5880156472239,6,pheno6_1
20412,1.39765791775704,-0.609829162643204,4,pheno4_2
20413,1.546378239747,-0.520081368497304,4,pheno4_2
20414,1.35166228567222,-0.629684782625928,4,pheno4_2
20415,-0.407041879589121,-3.55258085846063,6,pheno6_3
20416,1.5181992250449,-0.576658498388357,4,pheno4_2
20417,1.35791449170154,-0.64269028177274,4,pheno4_2
20418,1.20242369723037,-0.700885870252342,4,pheno4_2
20419,-0.390318891658437,-3.58845404570124,6,pheno6_3
20420,1.42135260391646,-0.653298279343178,4,pheno4_2
20421,1.2565271633842,-0.764941139240228,4,pheno4_2
20422,1.37811387258985,-0.627747946494208,4,pheno4_2
20423,0.225168116332899,-1.34797380183683,6,pheno6_1
20424,1.11343876073543,-0.787746044504251,4,pheno4_1
20425,2.29933508347056,0.841875761005605,5,pheno5_1
20426,2.17856790523771,0.667548080476378,5,pheno5_1
20427,2.05063661310655,0.469476881722934,5,pheno5_1
20428,2.30512703043729,0.848002331165475,5,pheno5_1
20429,2.15811361877833,0.683598812489439,5,pheno5_1
20430,1.42452307323728,-0.626358649403797,4,pheno4_2
20431,2.46519312835188,0.232750804682351,5,pheno5_31
20432,2.07498588827257,0.430178403821208,5,pheno5_1
20433,1.43637056938886,-0.573337317668043,4,pheno4_2
20434,0.956137695893064,-0.83107951294542,4,pheno4_1
20435,-1.19230796161617,-1.4710145365978,3,pheno3_42
20436,-1.21958767519504,-0.46491117856821,3,pheno3_2
20437,-1.16055747687094,-1.26535597179333,3,pheno3_41
20438,-1.91369516412652,0.0110020225392973,2,pheno2_2
20439,-1.49327887738214,-0.188882114188659,2,pheno2_1
20440,1.52139115889236,0.483281373956688,5,pheno5_2
20441,1.51666642520555,0.535150027924678,5,pheno5_2
20442,1.53555151987954,0.573004332942193,5,pheno5_2
20443,1.57370804391875,0.589986231790361,5,pheno5_2
20444,1.52156287018542,0.500893776533446,5,pheno5_2
20445,1.55588330697246,0.497214879221531,5,pheno5_2
20446,1.53172412939402,0.532183773262392,5,pheno5_2
20447,1.5543645206451,0.478727750423332,5,pheno5_2
20448,1.61397428997488,0.508581153778108,5,pheno5_2
20449,2.08403789871164,0.713695443091826,5,pheno5_4
20450,2.39636288208361,0.987302070927246,5,pheno5_1
20451,2.81351459866922,0.291426303126955,5,pheno5_31
20452,2.65368573819708,1.13608821094361,5,pheno5_5
20453,2.72968433602748,1.14217520000948,5,pheno5_5
20454,2.66857958140768,1.14034318291786,5,pheno5_5
20455,2.72719164124195,1.16400108506106,5,pheno5_5
20456,2.67265174119492,1.14157928693544,5,pheno5_5
20457,2.59234295231194,1.4986818890785,5,pheno5_6
20458,2.06279236947765,0.763718238038216,5,pheno5_4
20459,2.56037627130047,1.53368104657188,5,pheno5_6
20460,2.03652528333529,0.8010358019802,5,pheno5_4
20461,2.48419802405331,1.51354758154104,5,pheno5_6
20462,2.55515911808881,1.47772854177866,5,pheno5_6
20463,-0.385767958641989,-3.56417970999987,6,pheno6_3
20464,-2.05117133451395,1.82630788682166,1,pheno1_right2
20465,-2.78141432301846,1.48004135923027,1,pheno1_left1
20466,1.7273069696193,-0.304765794414657,4,pheno4_2
20467,1.80166789572837,-0.3516839902712,4,pheno4_3
20468,1.48248645938637,-0.474030315221429,4,pheno4_2
20469,1.33261128387328,-0.557594842075161,4,pheno4_2
20470,1.60997934889292,-0.386588901845335,4,pheno4_2
20471,1.24375703089099,-0.606736569351874,4,pheno4_2
20472,1.19110275592601,-0.698976252424158,4,pheno4_1
20473,1.62552530843857,-0.432110303148976,4,pheno4_2
20474,1.25737039582117,-0.598627215450492,4,pheno4_2
20475,1.65434102059729,0.450788939094772,5,pheno5_2
20476,1.65300723008419,-0.32401933012743,4,pheno4_2
20477,1.42471448050337,-0.516083936605031,4,pheno4_2
20478,1.20971205647684,-0.611174474802078,4,pheno4_2
20479,-1.88732417806772,0.0387171362767755,2,pheno2_2
20480,0.771951392606764,-0.944686722949231,4,pheno4_1
20481,1.11055632481143,-0.779525208589711,4,pheno4_1
20482,0.255758762103437,-1.70430306278555,6,pheno6_1
20483,0.221475634994803,-1.9231098512167,6,pheno6_1
20484,1.45825797076398,-0.544748010306168,4,pheno4_2
20485,0.192513779671803,-1.94361535014534,6,pheno6_1
20486,1.81119830056711,-0.45804131702543,4,pheno4_3
20487,1.12423243334511,-0.807312857896975,4,pheno4_1
20488,1.24545468097567,-0.745872427522431,4,pheno4_2
20489,1.43839081015461,-0.638754933111913,4,pheno4_2
20490,-1.49950801249902,-0.148794335464244,2,pheno2_1
20491,-1.95988716482849,-0.0793998624997268,2,pheno2_2
20492,2.0946349379804,0.749408641089372,5,pheno5_4
20493,1.63491277223405,0.497647217877193,5,pheno5_2
20494,-2.66145398820186,0.410103951217386,2,pheno2_32
20495,-2.65363399922609,0.334925915312073,2,pheno2_32
20496,-1.57507587188233,0.544416357494369,2,pheno2_4
20497,-1.15477019195206,-1.38695365290144,3,pheno3_42
20498,-1.20903911718178,-1.36285738317528,3,pheno3_42
20499,-1.22095632734531,-1.43510080871759,3,pheno3_42
20500,-1.21736004277226,-1.39273031270776,3,pheno3_42
20501,-1.2268491955024,-1.42427135548372,3,pheno3_42
20502,-0.583752378402453,-0.350145612312748,3,pheno3_3
20503,-0.586509441871949,-0.313622082276258,3,pheno3_3
20504,-0.612934058165146,-0.326096448565536,3,pheno3_3
20505,-0.577159034715824,-0.331893506619077,3,pheno3_3
20506,0.193636557713477,-1.98031471173133,6,pheno6_1
20507,3.13830441568884,0.178909595797697,5,pheno5_32
20508,1.86180155826392,-0.396145736870786,4,pheno4_3
20509,1.87994749910022,-0.407935634240096,4,pheno4_3
